rule,severity,likelihood,remediation_cost,priority,level
EXP03-PL,Low,Unlikely,Medium,P2,L3
EXP04-PL,Low,Unlikely,Low,P3,L3
EXP06-PL,Low,Unlikely,Medium,P2,L3
FIO00-PL,Medium,Probable,Low,P12,L1
FIO01-PL,Medium,Unlikely,Medium,P4,L3
IDS00-PL,Medium,Unlikely,Medium,P4,L3
IDS01-PL,Medium,Probable,Medium,P8,L2
INT00-PL,Low,Probable,Medium,P4,L3
INT01-PL,Medium,Probable,High,P4,L3
MSC00-PL,Low,Unlikely,High,P1,L3
MSC01-PL,Low,Unlikely,High,P1,L3
MSC02-PL,Low,Unlikely,Medium,P2,L3
OOP00-PL,Low,Unlikely,Low,P3,L3
